Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2025       11477      0          9711       5.67
structure_refs      841        89         0          0          0.11
biomes              841        705        0          228        0.84
terrain             841        3053       2          31         3.63
surface             841        1048       0          32         1.25
air_carvers         841        1116       0          120        1.33
fluid_carvers       841        14         0          0          0.02
decoration          729        5659       3          152        7.76
mob_spawns          625        25         0          2          0.04
structure_searches  0          0          0          0          0.00
Sum                                                             20.63
